Patrik Order Form;;;;;;;;;
Date: ;;;;;;;;;
Est. delivery Date: ;;;Primary;;Total;;;;End
Part;Part Desc;Price List Price;Order QTY;Parts Per Container;;;;;
20041100;4110 PINT ICE CREAM HOLDER;14,42 US$;;8;;;;;
20041120;4112 HEART IMPRESSION MUG;17,84 US$;;8;;;;;
20041160;4116 SHOT GLASS;4,33 US$;;8;;;;;
20041170;4117 CUPCAKE CANNISTER;9,24 US$;;1;;;;;
20041180;4118 SQUARE SALT + PEPPER;10,32 US$;;8;;;;;
20041190;4119 DUNK MUG;15,64 US$;;8;;;;;
20041200;4120 DOG TREAT JAR;17,67 US$;;4;;;;;
20041210;4121 CAT TREAT JAR;13,61 US$;;4;;;;;
20041300;4130 CRINKLED PLASTIC CUP;9,79 US$;;6;;;;;
20041370;4137 I LOVE GRANDMA MUG;11,01 US$;;8;;;;;
20041380;4138 I LOVE GRANDPA MUG;11,01 US$;;8;;;;;
20041430;4143 OLIVE OIL DISPENSER;18,17 US$;;6;;;;;
20041440;4144 STACKING MUG;11,41 US$;;8;;;;;
20041460;4146 BEADED HANDLE MUG;13,71 US$;;8;;;;;
20041480;4148 - I LOVE MUM MUG;13,36 US$;;8;;;;;
20041500;4150 OWL MUG;12,13 US$;;8;;;;;
20041510;4151 UTENSIL HOLDER;17,04 US$;;4;;;;;
20041520;4152 TOOL/BRUSH CADDY;19,75 US$;;4;;;;;
20041530;4153 LG TRAVEL TUMBLER;20,92 US$;;12;;;;;
20041540;4154 MED. TRAVEL TUMBLER;18,40 US$;;12;;;;;
20041560;4156 CHEVRON MUG;14,01 US$;;8;;;;;
20041590;4159 COCOA MUG;13,44 US$;;8;;;;;
20041640;4164 JAR MUG;12,25 US$;;6;;;;;
20041690;4169 STEMLESS WINE GLASS;11,10 US$;;8;;;;;
20041710;4171 FLAT TOP CANNISTER;25,43 US$;;6;;;;;
20041760;4176 CASTLE MUG;13,79 US$;;6;;;;;
20041770;4177 JUMBO JR. MUG;18,90 US$;;12;;;;;
20041780;4178 ROUND JR MUG;17,72 US$;;12;;;;;
20041810;4181 - JUG BUD VASE;10,40 US$;;8;;;;;
20041820;4182 - DROP BUD VASE;10,40 US$;;8;;;;;
20041830;4183 - SHOULDER BUD VASE;10,40 US$;;8;;;;;
