Patrik Order Form;;;;;;;;;
Date: ;;;;;;;;;
Est. delivery Date: ;;;Primary;;Total;;;;End
Part;Part Desc;Price List Price;Order QTY;Parts Per Container;;;;;
30723430;FS-2343 PINT PEACHY KEEN;8,56 US$;;1;;;;;
30723490;FS-2349 PINT TWEETY BIRD;8,56 US$;;1;;;;;
30723500;FS-2350 PINT GOLDEN RETRIEVER;8,56 US$;;1;;;;;
30723530;FS-2353 PINT GRAPE SLUSH;8,56 US$;;1;;;;;
30723540;FS-2354 PINT SOMETHING BLUE;8,56 US$;;1;;;;;
30723550;FS-2355 PINT NANTUCKET BLUE;8,56 US$;;1;;;;;
30723590;FS-2359 PINT LIME LIGHT;8,56 US$;;1;;;;;
30723610;FS-2361 PINT LEAP FROG;8,56 US$;;1;;;;;
30723640;FS-2364 PINT BUTTERSCOTCH;8,56 US$;;1;;;;;
30723650;FS-2365 PINT NOT QUITE WHITE;8,56 US$;;1;;;;;
30723660;FS-2366 PINT CHOCOLATE MOOSE;8,56 US$;;1;;;;;
30723670;FS-2367 PINT TAUPE OF THE MORNIN';8,56 US$;;1;;;;;
30723680;FS-2368 PINT OLD YELLER;8,56 US$;;1;;;;;
30723690;FS-2369 PINT CREAM PUFF;8,56 US$;;1;;;;;
30723700;FS-2370 PINT NUTTY 4 U;8,56 US$;;1;;;;;
30723710;FS-2371 PINT COFFEE-N-CREAM;8,56 US$;;1;;;;;
30723720;FS-2372 PINT MOCHA FUDGE;8,56 US$;;1;;;;;
30723730;FS-2373 PINT KEY LIME PIE;8,56 US$;;1;;;;;
30723740;FS-2374 PINT BLUE ICE;8,56 US$;;1;;;;;
30723750;FS-2375 PINT JUMPIN' JELLY;8,56 US$;;1;;;;;
30723760;FS-2376 PINT BOUNCIN' BERRY;8,56 US$;;1;;;;;
30723770;FS-2377 PINT PUMPKIN PIE;8,56 US$;;1;;;;;
30723780;FS-2378 PINT PEA SOUP;8,56 US$;;1;;;;;
30723790;FS-2379 PINT SIMPLY CINNAMON;8,56 US$;;1;;;;;
30723810;FS-2381 PINT BEBOPPIN' BLUE;8,56 US$;;1;;;;;
30723820;FS-2382 PINT TAHITI TEAL;8,56 US$;;1;;;;;
30723830;FS-2383 PINT MELLOW YELLOW;8,56 US$;;1;;;;;
30723840;FS-2384 PINT PINKIE WINKIE;8,56 US$;;1;;;;;
30723850;FS-2385 PINT SWEET PEA;8,56 US$;;1;;;;;
30723860;FS-2386 PINT PAIL BLUE;8,56 US$;;1;;;;;
30723870;FS-2387 PINT POOL PARTY;8,56 US$;;1;;;;;
30723880;FS-2388 PINT PEACH FUZZ;8,56 US$;;1;;;;;
30723890;FS-2389 PINT SAMMY SALMON;8,56 US$;;1;;;;;
30723900;FS-2390 PINT ORANGE CRUSH;8,56 US$;;1;;;;;
30723910;FS-2391 PINT RED BLAZE;8,56 US$;;1;;;;;
30723920;FS-2392 PINT ROCKIN'RED;8,56 US$;;1;;;;;
30723930;FS-2393 PINT PRETTY IN PINK;8,56 US$;;1;;;;;
30723940;FS-2394 PINT COTTON CANDY;8,56 US$;;1;;;;;
30723950;FS-2395 PINT TIN MAN;8,56 US$;;1;;;;;
30723960;FS-2396 PINT ANCHORS AWAY;8,56 US$;;1;;;;;
30723970;FS-2397 PINT TANGY TANGERINE;8,56 US$;;1;;;;;
30723980;FS-2398 PINT TEAL WE MEET AGAIN;8,56 US$;;1;;;;;
30723990;FS-2399 PINT BLU-TEAL-FUL;8,56 US$;;1;;;;;
30724000;FS-2400 PINT BUTTER ME UP;9,56 US$;;1;;;;;
30724050;FS-2405 PINT GRANNY SMITH;9,56 US$;;1;;;;;
30724070;FS-2407 PINT BLAZING BERRY;9,56 US$;;1;;;;;
30724080;FS-2408 PINT BANANARAMA;9,56 US$;;1;;;;;
30724090;FS-2409 PINT PURPLE RAIN;9,56 US$;;1;;;;;
30724100;FS-2410 PINT BLIZZARD BLUE;9,56 US$;;1;;;;;
30724110;FS-2411 PINT BLUE GALAXY;9,56 US$;;1;;;;;
30724120;FS-2412 PINT THE PATRIOT;9,56 US$;;1;;;;;
30724130;FS-2413 PINT PINK PASSION;9,56 US$;;1;;;;;
30724140;FS-2414 PINT LIZARD LIME;9,56 US$;;1;;;;;
30724150;FS-2415 PINT SAND CASTLE;9,56 US$;;1;;;;;
30724160;FS-2416 PINT FUNFETTI;9,56 US$;;1;;;;;
30724170;FS-2417 PINT MANGO TANGO;9,56 US$;;1;;;;;
30724180;FS-2418 PINT STARRY NIGHT;9,56 US$;;1;;;;;
30724190;FS-2419 PINT PRINCESS PARTY;9,56 US$;;1;;;;;
30724200;FS-2420 PINT PAPARAZZI;9,56 US$;;1;;;;;
30726000;SC-2600 PINT WHITE BOARD;7,79 US$;;1;;;;;
30726090;SC-2609 PINT BLACK TOP;7,79 US$;;1;;;;;
30790000;NTG-9000 PINT SIMPLICITY CLEARGLAZE;4,34 US$;;1;;;;;
30790180;NTG-9018 BLUE LAGOON PTS;7,79 US$;;1;;;;;
30790600;NTG-9060 PINT GLASS GREEN;7,79 US$;;1;;;;;
30792030;NTG-9203 PINTS CLOUD WHITE;7,79 US$;;1;;;;;
30792160;NTG-9216 PINTS EBONY;7,79 US$;;1;;;;;
30793160;NTG-9316 PINT MUD SLIDE;11,26 US$;;1;;;;;
30793170;NTG-9317 PINT VOLCANIC EMBERS;11,26 US$;;1;;;;;
30793190;NTG - 9319 PINT POTTERY PEACOCK;11,26 US$;;1;;;;;
30793210;NTG-9321 PINTS PEACOCK PEBBLE;11,26 US$;;1;;;;;
30793220;NTG-9322 PINTS SPECKLED FOREST;11,26 US$;;1;;;;;
30793230;NTG-9323 PINTS BABBLING BR0OK;11,26 US$;;1;;;;;
30793340;NTG-9334 PINTS CAST IRON;5,90 US$;;1;;;;;
30793370;NTG-9337 PINTS ANTIQUE MOSS;5,90 US$;;1;;;;;
30794070;NTG-9407 PINT VANILLA SPICE;7,79 US$;;1;;;;;
30795110;NTG-9511 PINT PRAIRIE GOLD;8,14 US$;;1;;;;;
30795120;NTG-9512 PINT CANYON CLAY;8,14 US$;;1;;;;;
30795130;NTG-9513 PINT RED ROCK;8,14 US$;;1;;;;;
30795140;NTG-9514 PINT RIVER STONE;8,14 US$;;1;;;;;
30795150;NTG-9515 PINT POTTERY BLUE;8,14 US$;;1;;;;;
30795160;NTG-9516 PINT MIDNIGHT STONE;8,14 US$;;1;;;;;
30795170;NTG-9517 PINT POTTERY PATINA;8,14 US$;;1;;;;;
30795180;NTG-9518 PINT IRON MOSS;8,14 US$;;1;;;;;
30795190;NTG-9519 PINT GREEN ASH;8,14 US$;;1;;;;;
30795200;NTG-9520 PINT VOLCANIC ASH;8,14 US$;;1;;;;;
30795210;NTG-9521 PINT SPRING MIST;8,14 US$;;1;;;;;
30795220;NTG-9522 PINT OCEAN MIST;8,14 US$;;1;;;;;
30795270;NTG-9527 PINT SANDY BEACH;8,14 US$;;1;;;;;
30795290;NTG-9529 PINT WHITE BIRCH;8,14 US$;;1;;;;;
30795320;NTG-9532 PINT ROBIN'S EGG;8,14 US$;;1;;;;;
30795370;NTG-9537 PINT MERMAID SCALES;8,14 US$;;1;;;;;
30795380;NTG - 9538 PINT PLUM ISLAND;8,14 US$;;1;;;;;
30795390;NTG - 9539 PINT LOBSTER FEST;8,14 US$;;1;;;;;
30795400;NTG - 9540 PINT DENIM DAZE;8,14 US$;;1;;;;;
30795410;NTG - 9541 PINT JOLLY GREEN;8,14 US$;;1;;;;;
30795420;NTG - 9542 PINT DARLIN' CLEMENTINE;8,14 US$;;1;;;;;
30795550;NTG - 9555 PINT MAGIC FLOW;8,84 US$;;1;;;;;
30850010;DAZZLE DIP 1 GALLON - CS OF 4;78,40 US$;;1;;;;;
30850350;3.5 GALLON DAZZLE DIP;56,35 US$;;1;;;;;
30890000;9000 BRUSHING 1-GAL/CS OF 4 GLAZE;78,40 US$;;1;;;;;
30890006;9000 BRUSHING 5-GL BUCKET GLAZE;80,85 US$;;1;;;;;
3089000D;9000 DIPPING 1-GL/CS OF 4 CLEAR GLZ;78,40 US$;;1;;;;;
30890026;9000 DIPPING 5-GL BUCKET CLEAR GLZ;80,85 US$;;1;;;;;
